S.No,driver_name,season,series,total_points,wins,podiums,final_rank,age,f1_progression,f1_entry_year,pole_position,total_races,dnfs,points_per_race,win_rate,podium_rate,dnf_rate,season_weight
1,N. de Vries,2019,F2,266,4,12,1,24,1,2023,5,22,0,12.091,0.182,0.545,0,1
2,N. Latifi,2019,F2,214,4,8,2,24,0,NaN,0,22,0,9.727,0.182,0.364,0,1
3,L. Ghiotto,2019,F2,207,4,9,3,24,0,NaN,2,22,3,9.409,0.182,0.409,0.136,1
4,S. Sette Câmara,2019,F2,204,2,8,4,21,0,NaN,2,22,2,9.273,0.091,0.364,0.091,1
5,J. Aitken,2019,F2,159,3,7,5,24,0,NaN,0,22,1,7.227,0.136,0.318,0.045,1
6,N. Matsushita,2019,F2,144,2,5,6,26,0,NaN,1,22,2,6.545,0.091,0.227,0.091,1
7,G. Zhou,2019,F2,140,0,5,7,20,1,2022,1,22,2,6.364,0,0.227,0.091,1
8,L. Delétraz,2019,F2,92,0,3,8,22,0,NaN,0,22,5,4.182,0,0.136,0.227,1
9,J. King,2019,F2,79,0,2,9,25,0,NaN,0,20,1,3.95,0,0.1,0.05,1
10,A. Hubert,2019,F2,77,2,2,10,23,0,NaN,0,16,0,4.813,0.125,0.125,0,1
11,C. Ilott,2019,F2,74,0,2,11,21,0,NaN,1,21,2,3.524,0,0.095,0.095,1
12,M. Schumacher,2019,F2,53,1,1,12,20,1,2021,0,22,6,2.409,0.045,0.045,0.273,1
13,J. Correa,2019,F2,36,0,2,13,20,0,NaN,0,16,2,2.25,0,0.125,0.125,1
14,D. Boccolacci,2019,F2,30,0,0,14,21,0,NaN,0,12,2,2.5,0,0,0.167,1
15,G. Alesi,2019,F2,20,0,0,15,20,0,NaN,0,22,6,0.909,0,0,0.273,1
16,A. Markelov,2019,F2,16,0,0,16,25,0,NaN,0,6,3,2.667,0,0,0.5,1
17,S. Gelael,2019,F2,15,0,0,17,23,0,NaN,0,20,4,0.75,0,0,0.2,1
18,N. Mazepin,2019,F2,11,0,0,18,20,1,2021,0,22,3,0.5,0,0,0.136,1
19,R. Boschung,2019,F2,3,0,0,19,22,0,NaN,0,14,3,0.214,0,0,0.214,1
20,M. Raghunathan,2019,F2,1,0,0,20,21,0,NaN,0,20,2,0.05,0,0,0.1,1
21,M. Sato,2019,F2,0,0,0,21,20,0,NaN,0,6,0,0,0,0,0,1
22,T. Calderón,2019,F2,0,0,0,22,26,0,NaN,0,22,6,0,0,0,0.273,1
23,C. Lundgaard,2019,F2,0,0,0,23,18,0,NaN,0,2,0,0,0,0,0,1
24,A. Maini,2019,F2,0,0,0,24,22,0,NaN,0,6,1,0,0,0,0.167,1
25,M. Isaakyan,2019,F2,0,0,0,25,21,0,NaN,0,4,1,0,0,0,0.25,1
26,P. O'Ward,2019,F2,0,0,0,26,20,0,NaN,0,2,0,0,0,0,0,1
27,R. Tveter,2019,F2,0,0,0,27,25,0,NaN,0,2,0,0,0,0,0,1
28,R. Shwartzman,2019,F3,212,3,10,1,20,0,NaN,2,16,1,13.25,0.188,0.625,0.063,1
29,M. Armstrong,2019,F3,158,3,7,2,19,0,NaN,1,16,2,9.875,0.188,0.438,0.125,1
30,J. Daruvala,2019,F3,157,2,7,3,21,0,NaN,1,16,1,9.813,0.125,0.438,0.063,1
31,J. Vips,2019,F3,141,3,4,4,19,0,NaN,1,16,1,8.813,0.188,0.25,0.063,1
32,P. Piquet,2019,F3,98,1,3,5,21,0,NaN,0,16,1,6.125,0.063,0.188,0.063,1
33,C. Lundgaard,2019,F3,97,1,2,6,18,0,NaN,2,16,1,6.063,0.063,0.125,0.063,1
34,J. Hughes,2019,F3,90,1,4,7,25,0,NaN,1,16,4,5.625,0.063,0.25,0.25,1
35,L. Pulcini,2019,F3,78,1,2,8,21,0,NaN,0,16,1,4.875,0.063,0.125,0.063,1
36,Y. Tsunoda,2019,F3,67,1,3,9,19,1,2021,0,16,1,4.188,0.063,0.188,0.063,1
37,M. Fewtrell,2019,F3,57,0,2,10,20,0,NaN,0,16,1,3.563,0,0.125,0.063,1
38,L. Lawson,2019,F3,41,0,2,11,17,1,2023,0,16,4,2.563,0,0.125,0.25,1
39,N. Kari,2019,F3,36,0,2,12,20,0,NaN,0,16,3,2.25,0,0.125,0.188,1
40,R. Verschoor,2019,F3,34,0,0,13,19,0,NaN,0,16,0,2.125,0,0,0,1
41,D. Beckmann,2019,F3,20,0,0,14,19,0,NaN,0,14,2,1.429,0,0,0.143,1
42,B. Viscaal,2019,F3,10,0,0,15,20,0,NaN,0,16,3,0.625,0,0,0.188,1
43,F. Drugovich,2019,F3,8,0,0,16,19,0,NaN,0,16,1,0.5,0,0,0.063,1
44,F. Scherer,2019,F3,7,0,0,17,20,0,NaN,0,16,2,0.438,0,0,0.125,1
45,L. Zendeli,2019,F3,6,0,0,18,20,0,NaN,0,14,1,0.429,0,0,0.071,1
46,L. Sargeant,2019,F3,5,0,0,19,19,1,2023,0,16,3,0.313,0,0,0.188,1
47,A. Peroni,2019,F3,5,0,0,20,20,0,NaN,0,13,1,0.385,0,0,0.077,1
48,Y. Yifei,2019,F3,4,0,0,21,19,0,NaN,0,16,2,0.25,0,0,0.125,1
49,R. Hyman,2019,F3,2,0,0,22,23,0,NaN,0,16,1,0.125,0,0,0.063,1
50,S. Laaksonen,2019,F3,2,0,0,23,21,0,NaN,0,16,3,0.125,0,0,0.188,1
51,T. Natori,2019,F3,1,0,0,24,19,0,NaN,0,16,2,0.063,0,0,0.125,1
52,D. DeFrancesco,2019,F3,0,0,0,25,19,0,NaN,0,16,2,0,0,0,0.125,1
53,A. Estner,2019,F3,0,0,0,26,19,0,NaN,0,16,2,0,0,0,0.125,1
54,S. Fernández,2019,F3,0,0,0,27,19,0,NaN,0,16,5,0,0,0,0.313,1
55,K. Andres,2019,F3,0,0,0,28,19,0,NaN,0,16,0,0,0,0,0,1
56,A. Deledda,2019,F3,0,0,0,29,25,0,NaN,0,16,2,0,0,0,0.125,1
57,G. Carrara,2019,F3,0,0,0,30,18,0,NaN,0,8,1,0,0,0,0.125,1
58,A. Petrov,2019,F3,0,0,0,31,19,0,NaN,0,2,0,0,0,0,0,1
59,D. Schumacher,2019,F3,0,0,0,32,18,0,NaN,0,2,0,0,0,0,0,1
60,L. Hon Chio,2019,F3,0,0,0,33,18,0,NaN,0,2,0,0,0,0,0,1
61,F. Malvestiti,2019,F3,0,0,0,34,19,0,NaN,0,2,0,0,0,0,0,1
62,M. Schumacher,2020,F2,215,2,10,1,21,1,2021,0,24,1,8.958,0.083,0.417,0.042,1.349858808
63,C. Ilott,2020,F2,201,3,6,2,22,0,NaN,5,24,2,8.375,0.125,0.25,0.083,1.349858808
64,Y. Tsunoda,2020,F2,200,3,7,3,20,1,2021,4,24,2,8.333,0.125,0.292,0.083,1.349858808
65,R. Shwartzman,2020,F2,177,4,6,4,21,0,NaN,0,24,3,7.375,0.167,0.25,0.125,1.349858808
66,N. Mazepin,2020,F2,164,2,6,5,21,1,2021,0,24,1,6.833,0.083,0.25,0.042,1.349858808
67,G. Zhou,2020,F2,151.5,1,6,6,21,1,2022,1,24,2,6.313,0.042,0.25,0.083,1.349858808
68,C. Lundgaard,2020,F2,149,2,6,7,19,0,NaN,1,24,2,6.208,0.083,0.25,0.083,1.349858808
69,L. Delétraz,2020,F2,134,0,5,8,23,0,NaN,0,24,5,5.583,0,0.208,0.208,1.349858808
70,F. Drugovich,2020,F2,121,3,4,9,20,0,NaN,1,24,1,5.042,0.125,0.167,0.042,1.349858808
71,L. Ghiotto,2020,F2,106,1,4,10,25,0,NaN,0,24,3,4.417,0.042,0.167,0.125,1.349858808
72,D. Ticktum,2020,F2,96.5,1,4,11,21,0,NaN,0,24,2,4.021,0.042,0.167,0.083,1.349858808
73,J. Daruvala,2020,F2,72,1,2,12,22,0,NaN,0,24,0,3,0.042,0.083,0,1.349858808
74,M. Armstrong,2020,F2,52,0,2,13,20,0,NaN,0,24,4,2.167,0,0.083,0.167,1.349858808
75,J. Aitken,2020,F2,48,0,2,14,25,0,NaN,0,22,1,2.182,0,0.091,0.045,1.349858808
76,N. Matsushita,2020,F2,42,1,1,15,27,0,NaN,0,17,2,2.471,0.059,0.059,0.118,1.349858808
77,J. Vips,2020,F2,16,0,1,16,20,0,NaN,0,8,0,2,0,0.125,0,1.349858808
78,G. Alesi,2020,F2,12,0,0,17,21,0,NaN,0,24,6,0.5,0,0,0.25,1.349858808
79,R. Nissany,2020,F2,5,0,0,18,26,0,NaN,0,23,3,0.217,0,0,0.13,1.349858808
80,A. Markelov,2020,F2,5,0,0,19,26,0,NaN,0,24,1,0.208,0,0,0.042,1.349858808
81,P. Piquet,2020,F2,3,0,0,20,22,0,NaN,0,24,5,0.125,0,0,0.208,1.349858808
82,S. Gelael,2020,F2,3,0,0,21,24,0,NaN,0,16,4,0.188,0,0,0.25,1.349858808
83,M. Sato,2020,F2,1,0,0,22,21,0,NaN,0,24,4,0.042,0,0,0.167,1.349858808
84,J. Hughes,2020,F2,0,0,0,23,26,0,NaN,0,2,1,0,0,0,0.5,1.349858808
